Months,Closing Price (₹),Dividend per Share (₹)
1/1/2023,350.19,0
1/2/2023,374.39,0
1/3/2023,381.15,6
1/4/2023,422.94,0
1/5/2023,445.5,0
1/6/2023,451.6,0
1/7/2023,465.7,0
1/8/2023,439.7,9.5
1/9/2023,444.4,0
1/10/2023,428.4,0
1/11/2023,435.8,0
1/12/2023,462.1,0
1/1/2024,441.55,0
1/2/2024,406.3,6.25
1/3/2024,428.35,0
1/4/2024,435.65,0
1/5/2024,426.45,0
1/6/2024,424.9,0
1/7/2024,495.35,0
1/8/2024,501.9,7.5
1/9/2024,518.15,0
1/10/2024,462.41,0
1/11/2024,451.01,0
1/12/2024,457.54,0
1/1/2025,447.5,18
1/2/2025,395,0
1/3/2025,409.75,6.5
1/4/2025,425.8,0
1/5/2025,418.05,0
1/6/2025,416.45,0
1/7/2025,411.95,7.85
1/8/2025,409.75,0
1/9/2025,401.55,0
1/10/2025,420.35,0
1/11/2025,404.25,0
1/12/2025,403,0
