Months,"Closing Price (₹),",Dividend per Share (₹)
1/1/2023,553.5,0
1/2/2023,522.8,0
1/3/2023,523.75,0
1/4/2023,578.3,0
1/5/2023,579.85,11.3
1/6/2023,572.85,0
1/7/2023,620.2,0
1/8/2023,561.35,0
1/9/2023,598.55,0
1/10/2023,565.55,0
1/11/2023,564.75,0
1/12/2023,642.05,0
1/1/2024,640.5,0
1/2/2024,748.1,0
1/3/2024,752.35,0
1/4/2024,826.25,0
1/5/2024,830.35,13.7
1/6/2024,848.95,0
1/7/2024,872.4,0
1/8/2024,815.6,0
1/9/2024,787.9,0
1/10/2024,820.2,0
1/11/2024,838.95,0
1/12/2024,794.95,0
1/1/2025,772.9,0
1/2/2025,688.8,0
1/3/2025,771.5,0
1/4/2025,788.65,0
1/5/2025,812.3,15.9
1/6/2025,820.35,0
1/7/2025,796.55,0
1/8/2025,802.5,0
1/9/2025,872.45,0
1/10/2025,937,0
1/11/2025,979,0
1/12/2025,982.2,0
